gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,retention,ext_inflow,seed_payers,seed_reach2,pagerank,betweenness,component_id,component_size,fast_share,sync_in_max,truncated_by_depth
100000000011452100,terminal,0.7635,0,0.6304307532621589,Признаки удержания: осталось 85% входящего потока (110 тыс. KZT от 3 плательщиков); колено 1.,1,False,3,1,110000.0,16685.0,7,2,0.1516818181818182,0.8483181818181817,0.0,1,1,0.00047686402523264813,3.368496473580486e-06,0,1877,1.0,1,False
100000000018102100,boundary,0.5,0,0.22504819098457887,"Граница выгрузки: колено 4; исходящие здесь не собирались, вывод об удержании невозможен.",4,False,1,0,7000.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0003204029472448961,0.0,0,1877,,1,True
100000000031787100,transit,1.0,10,0.5588609628311585,"Признаки транзита: получено 90 тыс., отправлено 90 тыс. KZT; передано дальше 100% входящего потока. 44% исходящих сумм попали в окно 2 дней после входящего.",2,False,1,2,90000.0,90000.0,2,4,1.0,0.0,0.0,0,1,0.0004315356304853241,3.962937027741748e-07,0,1877,0.4444444444444444,1,False
100000000041368100,terminal,0.9,3,0.41422375444839854,Признаки удержания: осталось 100% входящего потока (160 тыс. KZT от 1 плательщиков); колено 1.,1,False,1,0,160000.0,0.0,1,0,0.0,1.0,0.0,1,2,0.0003176071236192344,0.0,0,1877,,1,False
100000000076451100,peripheral,0.5,15,0.3,"Явное правило роли не сработало: 3 плательщиков и 4 получателей; входящий поток 87,7 тыс. KZT.",2,False,3,4,87707.0,58000.0,4,4,0.661292713238396,0.338707286761604,0.0,0,1,0.0013962008641423944,9.76863977338341e-05,0,1877,0.25862068965517243,2,False
100000000089154100,distributor,0.625,0,0.6413026097271648,"Признаки распределения: 15 получателей; исходящий поток 425,5 тыс. KZT.",1,False,1,15,10000.0,425500.0,1,21,42.55,-41.55,415500.0,1,1,0.0002874458184490932,0.00010895478461069692,0,1877,0.27379553466509987,1,False
100000000190228100,peripheral,0.5,2,0.3,Явное правило роли не сработало: 1 плательщиков и 1 получателей; входящий поток 5 тыс. KZT.,2,False,1,1,5000.0,28560.0,1,1,5.712,-4.712,23560.0,0,1,0.0005820068181865648,2.159800680119253e-05,0,1877,0.0,1,False
100000000201868100,transit,1.0,54,0.5197545966785291,"Признаки транзита: получено 190 тыс., отправлено 190 тыс. KZT; передано дальше 100% входящего потока. 100% исходящих сумм попали в окно 2 дней после входящего.",2,False,1,1,190000.0,190000.0,1,1,1.0,0.0,0.0,0,1,0.0009746432509228606,0.0,0,1877,1.0,1,False
100000000254336100,peripheral,0.5,0,0.3,"Явное правило роли не сработало: 2 плательщиков и 1 получателей; входящий поток 97,2 тыс. KZT.",3,False,2,1,97177.0,60000.0,2,1,0.6174300503205491,0.3825699496794509,0.0,0,0,0.0002919351427687482,1.922024458454748e-05,0,1877,1.0,1,False
100000000267734100,peripheral,0.5,10,0.3,Явное правило роли не сработало: 2 плательщиков и 7 получателей; входящий поток 180 тыс. KZT.,1,False,2,7,180000.0,282000.0,4,8,1.5666666666666667,-0.5666666666666667,102000.0,1,1,0.0005373190777888428,3.5666433249675733e-06,0,1877,0.4148936170212766,1,False
100000000274067100,peripheral,0.5,10,0.3,"Явное правило роли не сработало: 2 плательщиков и 3 получателей; входящий поток 517,7 тыс. KZT.",1,False,2,3,517704.0,2969000.0,9,9,5.734937338710924,-4.734937338710924,2451296.0,1,1,0.0004137036512851875,1.1888811083225246e-06,0,1877,0.6921522398113843,1,False
100000000287768100,terminal,0.7,0,0.24204107354685644,"Признаки удержания: осталось 100% входящего потока (35,2 тыс. KZT от 1 плательщиков); колено 3.",3,False,1,0,35168.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0002886880716986401,0.0,0,1877,,1,False
100000000288317100,peripheral,0.5,0,0.3,Явное правило роли не сработало: 2 плательщиков и 3 получателей; входящий поток 100 тыс. KZT.,3,False,2,3,100000.0,53500.0,2,3,0.535,0.46499999999999997,0.0,0,0,0.0003128334856204945,5.8255174307803695e-05,0,1877,0.308411214953271,1,False
100000000291906100,transit,0.5628,50,0.6489130382686683,"Признаки транзита: получено 388 тыс., отправлено 455,9 тыс. KZT; передано дальше 117% входящего потока. 42% исходящих сумм попали в окно 2 дней после входящего.",2,False,2,2,388000.0,455854.0,3,6,1.1748814432989692,-0.17488144329896915,67854.0,0,1,0.0007629373053537487,7.806985944651244e-05,0,1877,0.4186735226629579,1,False
100000000291908100,terminal,0.6685,50,0.45712114472123366,"Признаки удержания: осталось 95% входящего потока (295,5 тыс. KZT от 1 плательщиков); колено 3.",3,False,1,1,295500.0,13300.0,5,1,0.045008460236886635,0.9549915397631134,0.0,0,0,0.0007065527083397005,1.981468513870874e-05,0,1877,0.0,1,False
100000000297649100,peripheral,0.5,12,0.3,Явное правило роли не сработало: 1 плательщиков и 1 получателей; входящий поток 40 тыс. KZT.,2,False,1,1,40000.0,70600.0,1,2,1.765,-0.7649999999999999,30600.0,0,1,0.0008091385858414708,0.0,0,1877,0.0,1,False
100000000299820100,boundary,0.5,6,0.25164961447212336,"Граница выгрузки: колено 4; исходящие здесь не собирались, вывод об удержании невозможен.",4,False,1,0,10000.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0004501620352243438,0.0,0,1877,,1,True
100000000307908100,terminal,0.9,43,0.23080145314353498,Признаки удержания: осталось 100% входящего потока (5 тыс. KZT от 1 плательщиков); колено 2.,2,False,1,0,5000.0,0.0,1,0,0.0,1.0,0.0,0,1,0.0002964337747494595,0.0,1,6,,1,False
100000000331309100,coordinator,1.0,5,0.9934608540925266,Признаки координации: 5 плательщиков → 99 получателей; оборот 24 млн KZT; достижимы seed-клиенты: 3 в пределах 2 шагов.,2,False,5,99,984635.0,23001375.0,8,126,23.360306103276848,-22.360306103276848,22016740.0,0,3,0.0008756899038073762,0.0045572340502675075,0,1877,0.3584307459880116,3,False
100000000332284100,consolidator,0.8333,5,0.7532156077105575,"Признаки сбора: 10 плательщиков, из них seed: 0; входящий поток 107,4 тыс. KZT.",2,False,10,3,107426.0,289500.0,12,3,2.69487833485376,-1.69487833485376,182074.0,0,1,0.0007170946224349074,0.00010913726639027337,0,1877,1.0,3,False
100000000343175100,coordinator,0.8712,11,0.7887900355871886,"Признаки координации: 8 плательщиков → 31 получателей; оборот 4,2 млн KZT; достижимы seed-клиенты: 3 в пределах 2 шагов. Входящие извне выборки не наблюдаются.",0,True,8,31,178712.0,4000039.0,14,33,22.382598818210305,-21.382598818210305,3821327.0,1,3,0.0007132581979384051,0.0010946926090299827,0,1877,1.0,2,False
100000000369781100,boundary,0.5,5,0.24568876037959667,"Граница выгрузки: колено 4; исходящие здесь не собирались, вывод об удержании невозможен.",4,False,1,0,5000.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0005324777910582564,0.0,0,1877,,1,True
100000000375150100,boundary,0.5,13,0.3,"Граница выгрузки: колено 4; исходящие здесь не собирались, вывод об удержании невозможен.",4,False,1,0,300000.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0007463802351751578,0.0,0,1877,,1,True
100000000404740100,boundary,0.5,26,0.29946989916963224,"Граница выгрузки: колено 4; исходящие здесь не собирались, вывод об удержании невозможен.",4,False,1,0,25000.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0005579900727464834,0.0,0,1877,,1,True
100000000408846100,terminal,0.7,27,0.2678862692763938,"Признаки удержания: осталось 100% входящего потока (40,5 тыс. KZT от 1 плательщиков); колено 3.",3,False,1,0,40500.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0002957255734808806,0.0,0,1877,,1,False
100000000413678100,peripheral,0.5,6,0.3,"Явное правило роли не сработало: 2 плательщиков и 3 получателей; входящий поток 306,5 тыс. KZT.",3,False,2,3,306500.0,528198.0,2,18,1.723321370309951,-0.723321370309951,221698.0,0,0,0.00030069885417385005,5.7660733753642434e-05,0,1877,0.14767000253692744,2,False
100000000424935100,boundary,0.5,28,0.2292296856465006,"Граница выгрузки: колено 4; исходящие здесь не собирались, вывод об удержании невозможен.",4,False,1,0,15000.0,0.0,1,0,0.0,1.0,0.0,0,0,0.00030144797323543743,0.0,0,1877,,1,True
100000000425407100,terminal,0.9,3,0.2792000296559905,Признаки удержания: осталось 100% входящего потока (20 тыс. KZT от 1 плательщиков); колено 2.,2,False,1,0,20000.0,0.0,1,0,0.0,1.0,0.0,0,1,0.0003050945932713814,0.0,0,1877,,1,False
100000000437046100,coordinator,0.9583,0,0.923902728351127,"Признаки координации: 9 плательщиков → 42 получателей; оборот 8,7 млн KZT; достижимы seed-клиенты: 1 в пределах 2 шагов.",2,False,9,42,1107200.0,7606224.0,20,73,6.86978323699422,-5.86978323699422,6499024.0,0,1,0.0007924860106097876,0.002197148494797041,0,1877,0.8674551262229458,3,False
100000000440392100,terminal,0.9,4,0.3467712040332147,"Признаки удержания: осталось 100% входящего потока (105,7 тыс. KZT от 1 плательщиков); колено 1.",1,False,1,0,105705.0,0.0,4,0,0.0,1.0,0.0,1,1,0.0002969344900653258,0.0,0,1877,,1,False
100000000456947100,peripheral,0.5,72,0.03172597864768684,Явное правило роли не сработало: 0 плательщиков и 0 получателей; входящий поток 0 KZT. Входящие извне выборки не наблюдаются.,0,True,0,0,0.0,0.0,0,0,,0.0,0.0,0,0,0.0002855692942172909,0.0,2,1,,0,False
100000000470237100,boundary,0.5,28,0.3,"Граница выгрузки: колено 4; исходящие здесь не собирались, вывод об удержании невозможен.",4,False,1,0,32500.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0005846333941764128,0.0,0,1877,,1,True
100000000481716100,terminal,0.7,7,0.23946100237247925,Признаки удержания: осталось 100% входящего потока (8 тыс. KZT от 1 плательщиков); колено 3.,3,False,1,0,8000.0,0.0,1,0,0.0,1.0,0.0,0,0,0.0003771539261882796,0.0,0,1877,,1,False
100000000489417100,transit,0.8791,13,0.6489540856465006,"Признаки транзита: получено 73,5 тыс., отправлено 80 тыс. KZT; передано дальше 109% входящего потока. 100% исходящих сумм попали в окно 2 дней после входящего.",2,False,3,1,73504.0,80000.0,3,1,1.0883761427949499,-0.08837614279494987,6496.0,0,1,0.0005517574141078734,1.4045481435864878e-05,0,1877,1.0,2,False
